metabolite,estimate_trt_(Intercept),estimate_trt_trtlive,estimate_trt_genotypeR500,estimate_trt_trtlive:genotypeR500,p.value_trt_trtlive,p.value_trt_genotypeR500,p.value_trt_trtlive:genotypeR500,estimate_leaf_(Intercept),estimate_leaf_value_scale,p.value_leaf_value_scale,tissue,FDR_trt_trtlive,FDR_trt_genotypeR500,FDR_trt_trtlive:genotypeR500,FDR_leaf_value_scale,sig.both
met_amt_leaf_xylulose NIST,24241.833333333354,4209.499999999989,5037.166666666669,-881.6666666666649,0.45181528890886546,0.3694186112029866,0.9106473396676893,0.08808717346176755,0.16841393845555305,0.42364178377518125,leaf,0.9751625897404994,0.5243360933203681,0.9694565113534936,0.745609539444319,FALSE
met_amt_leaf_xylose,27728.666666666686,-451.6666666666727,11408.333333333332,-3130.8333333333358,0.916331477339007,0.014166769675471692,0.6077617987327071,0.08808717346176752,0.21396537235317772,0.3071180769031937,leaf,0.9818554955053371,0.048663348908438125,0.8764169507493567,0.6512383317465312,FALSE
met_amt_leaf_xylonic acid isomer,5500.833333333336,-371.66666666666714,-249.4999999999987,-940.833333333335,0.6250569841296972,0.7424498682603682,0.38485846413203695,0.08808717346176755,0.23978478984004264,0.2508959390687564,leaf,0.9751625897404994,0.8376357488065692,0.8588094552981795,0.5844533748797788,FALSE
met_amt_leaf_xylonic acid,2608.000000000002,221.49999999999957,1228.0000000000002,32.333333333332924,0.5829863941963538,0.005722392396731808,0.954635437178371,0.08808717346176753,0.3234735238483242,0.11654869536369368,leaf,0.9751625897404994,0.027191954755248222,0.9825487540549315,0.48136017108501317,FALSE
met_amt_leaf_xanthine,237.49999999999994,26.50000000000012,70.00000000000021,-151.1666666666669,0.6575452078599859,0.248482162494406,0.08452627849412374,0.08808717346176756,0.08189045874242165,0.6988745554867015,leaf,0.9751625897404994,0.4012189045781235,0.8588094552981795,0.890934875963949,FALSE
met_amt_leaf_vanillic acid,489.33333333333326,-90.16666666666663,0.5000000000001,-10.833333333333428,0.5022054206132165,0.9970139224957654,0.9542782168347606,0.08808717346176755,-0.15378202029479118,0.46557942547364717,leaf,0.9751625897404994,0.9972532544660468,0.9825487540549315,0.7730375366354897,FALSE
met_amt_leaf_valine,426976.5,-129282.16666666663,-314084.66666666645,140597.83333333323,0.04928417450342811,5.6510871325780685e-5,0.1231442398612348,0.08808717346176746,-0.7136062012963006,5.9978284622501356e-5,leaf,0.9751625897404994,0.001243239169167175,0.8588094552981795,0.010556178093560239,FALSE
met_amt_leaf_uridine,3286.333333333334,21.166666666666202,-318.8333333333344,-810.4999999999994,0.987012752296923,0.8064520201449001,0.6601876775527212,0.08808717346176755,-0.23085642385375155,0.2695244712359111,leaf,0.9926528251671912,0.8926764499717134,0.9077580566349917,0.608157781250261,FALSE
met_amt_leaf_urea,9122.166666666664,-694.83333333333,1882.3333333333405,-2909.1666666666747,0.7869731676357773,0.46671450146083593,0.42697669084812295,0.08808717346176755,0.07158683082467684,0.7353423471859449,leaf,0.9818554955053371,0.6084574241267194,0.8588094552981795,0.898899736218687,FALSE
met_amt_leaf_uracil,6074.166666666663,2494.666666666668,-2420.1666666666624,-2844.8333333333367,0.26336676387908686,0.27744937492495403,0.3644712289865032,0.08808717346176761,-0.405479850488976,0.045264473976812755,leaf,0.9751625897404994,0.43213353970612306,0.8588094552981795,0.36211579181450204,FALSE
met_amt_leaf_UDP-N-acetylglucosamine,219.83333333333343,15.666666666666707,168.16666666666663,-97.66666666666677,0.7837465166944646,0.007306272935278224,0.23438116119142668,0.08808717346176752,0.19338047544046938,0.35707545997498336,leaf,0.9818554955053371,0.032147600915224187,0.8588094552981795,0.6982808995066341,FALSE
met_amt_leaf_tyrosine,91786.16666666669,-8015.999999999994,-50380.16666666663,22015.99999999997,0.6448357970606652,0.00807049739675925,0.37421871455434763,0.08808717346176752,-0.4843112378113871,0.014493325074084438,leaf,0.9751625897404994,0.03427793418804345,0.8588094552981795,0.19621732407991238,FALSE
met_amt_leaf_tryptophan,17308.333333333336,3028.833333333332,-5404.500000000001,-1222.8333333333305,0.5619253967405649,0.3051563114323673,0.8679767642557129,0.08808717346176752,-0.40610499569873887,0.044900692236481674,leaf,0.9751625897404994,0.4629957828629021,0.948844164652208,0.36211579181450204,FALSE
met_amt_leaf_tocopherol alpha-,1554.333333333334,236.83333333333343,831.1666666666667,-631.3333333333337,0.6048635479629565,0.0798965703174449,0.33354443634704445,0.08808717346176753,0.2767099780747481,0.1828708798002505,leaf,0.9751625897404994,0.1635092601845384,0.8588094552981795,0.5833339206571589,FALSE
met_amt_leaf_thymine,256.16666666666663,-9.166666666666584,14.66666666666684,-22.66666666666685,0.9182102024037992,0.8695208586180809,0.8575456301431117,0.08808717346176753,-0.06237857569883519,0.7684122916576979,leaf,0.9818554955053371,0.9274889158592863,0.948844164652208,0.9200038321888083,FALSE
met_amt_leaf_threonine,59956.83333333333,-15224.166666666668,-36499.33333333332,14597.166666666668,0.13909959718618192,0.0014391328629580506,0.30872839887854214,0.08808717346176753,-0.6276268692111158,7.916188554617859e-4,leaf,0.9751625897404994,0.009045977995736318,0.8588094552981795,0.04644163952042477,FALSE
met_amt_leaf_threonic acid,12089.666666666675,1346.6666666666626,19134.666666666664,-2141.8333333333353,0.8072520178533318,0.002189058130433851,0.7838353359950361,0.08808717346176755,-0.24589735839154575,0.23863660390520136,leaf,0.9818554955053371,0.012625159648424067,0.9136093982458698,0.5833339206571589,FALSE
met_amt_leaf_tagatose,2232.500000000002,403.4999999999998,608.0000000000005,-157.1666666666675,0.2851362158914671,0.11355797428490556,0.7654035773020536,0.08808717346176753,0.26750125640415817,0.19849462608510662,leaf,0.9751625897404994,0.21038108920150925,0.9136093982458698,0.5833339206571589,FALSE
met_amt_leaf_sucrose,16748.333333333438,-3476.1666666667747,297568.16666666657,4720.666666666787,0.9859446968537381,0.1424236685681309,0.986503229982696,0.08808717346176755,-0.002388169872762836,0.9910146085706086,leaf,0.9926528251671912,0.25319763301001047,0.9883145821777741,0.9992755775898224,FALSE
met_amt_leaf_succinic acid,31696.666666666675,2330.833333333332,-13694.833333333323,-967.0000000000065,0.5697603720909903,0.002870024249678569,0.8670735114866736,0.08808717346176753,-0.043824694704000584,0.8361938494783461,leaf,0.9751625897404994,0.015306795998285702,0.948844164652208,0.9682244572907166,FALSE
met_amt_leaf_stigmasterol,306.33333333333337,-22.166666666666618,33.16666666666674,-63.50000000000011,0.7540373003843226,0.6397282849583446,0.527239336540547,0.08808717346176755,0.08052733343234734,0.7036641499375584,leaf,0.9818554955053371,0.7456435639249579,0.8764169507493567,0.890934875963949,FALSE
