name,value,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_padjust,Term,Definition,tissue.modules,tissue_LorD_set,-log10 FDR q-val
leaf.voom5.module.signedhybrid_antiquewhite4,no enriched GO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,leaf.antiquewhite4,leaf_Live,0
leaf.voom5.module.signedhybrid_antiquewhite4,no enriched GO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,leaf.antiquewhite4,leaf_Dead,0
leaf.voom5.module.signedhybrid_antiquewhite4,no enriched GO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,leaf.antiquewhite4,root_Live,0.7587380705076882
leaf.voom5.module.signedhybrid_antiquewhite4,no enriched GO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,leaf.antiquewhite4,root_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0009627,1.3267792767955179e-14,1,11,104,systemic acquired resistance,BP,5.027166679778217e-11,systemic acquired resistance,The salicylic acid mediated response to a pathogen which confers broad spectrum resistance.,leaf.bisque4,leaf_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0009627,1.3267792767955179e-14,1,11,104,systemic acquired resistance,BP,5.027166679778217e-11,systemic acquired resistance,The salicylic acid mediated response to a pathogen which confers broad spectrum resistance.,leaf.bisque4,leaf_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0009627,1.3267792767955179e-14,1,11,104,systemic acquired resistance,BP,5.027166679778217e-11,systemic acquired resistance,The salicylic acid mediated response to a pathogen which confers broad spectrum resistance.,leaf.bisque4,root_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0009627,1.3267792767955179e-14,1,11,104,systemic acquired resistance,BP,5.027166679778217e-11,systemic acquired resistance,The salicylic acid mediated response to a pathogen which confers broad spectrum resistance.,leaf.bisque4,root_Dead,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0019762,5.775652813125024e-10,0.9999999999893671,7,56,glucosinolate catabolic process,BP,1.0941974254465358e-6,glucosinolate catabolic process,"The chemical reactions and pathways resulting in the breakdown of glucosinolates, substituted thioglucosides found in rapeseed products and related cruciferae.",leaf.bisque4,leaf_Live,0
leaf.voom5.module.signedhybrid_bisque4,NA,GO:0019762,5.775652813125024e-10,0.9999999999893671,7,56,glucosinolate catabolic process,BP,1.0941974254465358e-6,glucosinolate catabolic process,"The chemical reactions and pathways resulting in the breakdown of glucosinolates, substituted thioglucosides found in rapeseed products and related cruciferae.",leaf.bisque4,leaf_Dead,0
