name,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,ontology,over_represented_padjust,Term,Definition,estimate,p.value,fdr,Pct_Var_Explained,Effect,-log10FDR
leaf.voom5.module.signedhybrid_darkgrey,GO:0006511,3.3458244034368013e-31,1,136,586,BP,1.2677328664622042e-27,ubiquitin-dependent protein catabolic process,"The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of a ubiquitin group, or multiple ubiquitin groups, to the protein.",0.15341379873351252,0.00150955188729936,0.01808641156061505,6.8,Increase,1.7426475909077155
leaf.voom5.module.signedhybrid_darkgrey,GO:0006886,6.491489178265491e-28,1,106,428,BP,1.2298126248223971e-24,intracellular protein transport,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.",0.15341379873351252,0.00150955188729936,0.01808641156061505,6.8,Increase,1.7426475909077155
leaf.voom5.module.signedhybrid_darkgrey,GO:0043161,2.0664650196864002e-19,1,53,167,BP,2.609945319863923e-16,proteasome-mediated ubiquitin-dependent protein catabolic process,"The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, and mediated by the proteasome.",0.15341379873351252,0.00150955188729936,0.01808641156061505,6.8,Increase,1.7426475909077155
leaf.voom5.module.signedhybrid_darkgrey,GO:0032482,7.369563501752155e-19,1,40,109,BP,6.98081902703473e-16,Rab protein signal transduction,A series of molecular signals within the cell that are mediated by a member of the Rab family of proteins switching to a GTP-bound active state.,0.15341379873351252,0.00150955188729936,0.01808641156061505,6.8,Increase,1.7426475909077155
leaf.voom5.module.signedhybrid_darkgrey,GO:0016567,2.7182203510783868e-17,1,156,988,BP,2.0598673820472014e-14,protein ubiquitination,The process in which one or more ubiquitin groups are added to a protein.,0.15341379873351252,0.00150955188729936,0.01808641156061505,6.8,Increase,1.7426475909077155
leaf.voom5.module.signedhybrid_darkgrey,GO:0010498,1.756394363741373e-16,1,26,52,BP,1.1091630407026773e-13,proteasomal protein catabolic process,The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome.,0.15341379873351252,0.00150955188729936,0.01808641156061505,6.8,Increase,1.7426475909077155
leaf.voom5.module.signedhybrid_darkgrey,GO:0010499,3.037915486087335e-16,1,25,49,BP,1.6443802538264166e-13,proteasomal ubiquitin-independent protein catabolic process,The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome but do not involve ubiquitin.,0.15341379873351252,0.00150955188729936,0.01808641156061505,6.8,Increase,1.7426475909077155
leaf.voom5.module.signedhybrid_darkgrey,GO:0015031,1.416062408262124e-14,1,81,423,BP,6.706825581131485e-12,protein transport,"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",0.15341379873351252,0.00150955188729936,0.01808641156061505,6.8,Increase,1.7426475909077155
leaf.voom5.module.signedhybrid_darkgrey,GO:0016192,1.1252761295911443e-13,1,55,244,BP,4.737412505578717e-11,vesicle-mediated transport,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane.",0.15341379873351252,0.00150955188729936,0.01808641156061505,6.8,Increase,1.7426475909077155
leaf.voom5.module.signedhybrid_darkgrey,GO:0006906,5.053746810633351e-10,0.9999999999286476,24,76,BP,1.914864666548977e-7,vesicle fusion,Fusion of the membrane of a transport vesicle with its target membrane.,0.15341379873351252,0.00150955188729936,0.01808641156061505,6.8,Increase,1.7426475909077155
