name,category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_padjust,Term,Definition
leaf.voom5.module.signedhybrid_antiquewhite4,no enriched GO,NA,NA,NA,NA,NA,NA,NA,NA,NA
leaf.voom5.module.signedhybrid_bisque4,GO:0042742,4.75E-39,1,103,726,defense response to bacterium,BP,1.80E-35,defense response to bacterium,Reactions triggered in response to the presence of a bacterium that act to protect the cell or organism.
leaf.voom5.module.signedhybrid_bisque4,GO:0006468,5.52E-35,1,153,1484,protein phosphorylation,BP,1.05E-31,protein phosphorylation,The process of introducing a phosphate group on to a protein.
leaf.voom5.module.signedhybrid_bisque4,GO:0010200,6.34E-30,1,55,286,response to chitin,BP,8.01E-27,response to chitin,"A process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chitin stimulus."
leaf.voom5.module.signedhybrid_bisque4,GO:0050832,6.93E-28,1,66,469,defense response to fungus,BP,6.56E-25,defense response to fungus,Reactions triggered in response to the presence of a fungus that act to protect the cell or organism.
leaf.voom5.module.signedhybrid_bisque4,GO:0006952,2.18E-25,1,109,1165,defense response,BP,1.65E-22,defense response,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
leaf.voom5.module.signedhybrid_bisque4,GO:0009816,3.74E-15,1,24,97,"defense response to bacterium, incompatible interaction",BP,2.36E-12,"defense response to bacterium, incompatible interaction",A response of an organism to a bacterium that prevents the occurrence or spread of disease.
leaf.voom5.module.signedhybrid_bisque4,GO:0009751,9.48E-15,1,41,347,response to salicylic acid,BP,5.13E-12,response to salicylic acid,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a salicylic acid stimulus."
leaf.voom5.module.signedhybrid_bisque4,GO:0009617,8.70E-14,1,34,241,response to bacterium,BP,4.12E-11,response to bacterium,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a bacterium."
leaf.voom5.module.signedhybrid_bisque4,GO:0009627,1.20E-13,1,22,104,systemic acquired resistance,BP,5.04E-11,systemic acquired resistance,The salicylic acid mediated response to a pathogen which confers broad spectrum resistance.
leaf.voom5.module.signedhybrid_bisque4,GO:0046777,4.14E-12,1,42,363,protein autophosphorylation,BP,1.57E-09,protein autophosphorylation,"The phosphorylation by a protein of one or more of its own amino acid residues (cis-autophosphorylation), or residues on an identical protein (trans-autophosphorylation)."
leaf.voom5.module.signedhybrid_bisque4,GO:0009651,1.48E-11,1,72,1045,response to salt stress,BP,5.09E-09,response to salt stress,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
leaf.voom5.module.signedhybrid_bisque4,GO:0006979,2.23E-11,1,44,502,response to oxidative stress,BP,7.05E-09,response to oxidative stress,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."
leaf.voom5.module.signedhybrid_bisque4,GO:0002237,2.55E-11,1,19,88,response to molecule of bacterial origin,BP,7.43E-09,response to molecule of bacterial origin,"Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of bacterial origin such as peptides derived from bacterial flagellin."
leaf.voom5.module.signedhybrid_bisque4,GO:0009682,1.93E-10,1,12,33,induced systemic resistance,BP,5.22E-08,induced systemic resistance,A response to non-pathogenic bacteria that confers broad spectrum systemic resistance to disease that does not depend upon salicylic acid signaling.
leaf.voom5.module.signedhybrid_bisque4,GO:0010120,2.45E-10,1,11,27,camalexin biosynthetic process,BP,6.18E-08,camalexin biosynthetic process,"The chemical reactions and pathways resulting in the formation of camalexin, an indole phytoalexin."
