Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,CO2,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,mgso4,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR1734689,RNA-Seq,300,2067006600,PRJNA271131,SAMN03273081,1325528027,GEO,350± 50 (ambient CO2),public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX823922,GSM1572736,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,"1000 (C, control)µM MgSO4",Arabidopsis thaliana,ILLUMINA,2015-05-01T00:00:00Z,GSM1572736,Root,SRP051531,Root
SRR1734690,RNA-Seq,300,2362964400,PRJNA271131,SAMN03273082,1515386510,GEO,350± 50 (ambient CO2),public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX823923,GSM1572737,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,"1000 (C, control)µM MgSO4",Arabidopsis thaliana,ILLUMINA,2015-05-01T00:00:00Z,GSM1572737,Root,SRP051531,Root
SRR1734691,RNA-Seq,300,2175450000,PRJNA271131,SAMN03273083,1394212892,GEO,350± 50 (ambient CO2),public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX823924,GSM1572738,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,"1000 (C, control)µM MgSO4",Arabidopsis thaliana,ILLUMINA,2015-05-01T00:00:00Z,GSM1572738,Shoot,SRP051531,Shoot
SRR1734692,RNA-Seq,300,2088720300,PRJNA271131,SAMN03273094,1338549597,GEO,350± 50 (ambient CO2),public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX823925,GSM1572739,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,"1000 (C, control)µM MgSO4",Arabidopsis thaliana,ILLUMINA,2015-05-01T00:00:00Z,GSM1572739,Shoot,SRP051531,Shoot
SRR1734693,RNA-Seq,300,2243147100,PRJNA271131,SAMN03273102,1439545099,GEO,350± 50 (ambient CO2),public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX823926,GSM1572740,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,"10000 (H, high)µM MgSO4",Arabidopsis thaliana,ILLUMINA,2015-05-01T00:00:00Z,GSM1572740,Root,SRP051531,Root
SRR1734694,RNA-Seq,300,2192904600,PRJNA271131,SAMN03273088,1407368895,GEO,350± 50 (ambient CO2),public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX823927,GSM1572741,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,"10000 (H, high)µM MgSO4",Arabidopsis thaliana,ILLUMINA,2015-05-01T00:00:00Z,GSM1572741,Root,SRP051531,Root
SRR1734695,RNA-Seq,300,2051967300,PRJNA271131,SAMN03273100,1322251536,GEO,350± 50 (ambient CO2),public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX823928,GSM1572742,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,"10000 (H, high)µM MgSO4",Arabidopsis thaliana,ILLUMINA,2015-05-01T00:00:00Z,GSM1572742,Shoot,SRP051531,Shoot
SRR1734696,RNA-Seq,300,1748439600,PRJNA271131,SAMN03273106,1126901090,GEO,350± 50 (ambient CO2),public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX823929,GSM1572743,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,"10000 (H, high)µM MgSO4",Arabidopsis thaliana,ILLUMINA,2015-05-01T00:00:00Z,GSM1572743,Shoot,SRP051531,Shoot
SRR1734697,RNA-Seq,300,2279226600,PRJNA271131,SAMN03273096,1462287688,GEO,350± 50 (ambient CO2),public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX823930,GSM1572744,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,"1 (L, low)µM MgSO4",Arabidopsis thaliana,ILLUMINA,2015-05-01T00:00:00Z,GSM1572744,Root,SRP051531,Root
SRR1734698,RNA-Seq,300,2471917800,PRJNA271131,SAMN03273091,1585973741,GEO,350± 50 (ambient CO2),public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX823931,GSM1572745,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,"1 (L, low)µM MgSO4",Arabidopsis thaliana,ILLUMINA,2015-05-01T00:00:00Z,GSM1572745,Root,SRP051531,Root
SRR1734699,RNA-Seq,300,2116188900,PRJNA271131,SAMN03273085,1353875350,GEO,350± 50 (ambient CO2),public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX823932,GSM1572746,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,"1 (L, low)µM MgSO4",Arabidopsis thaliana,ILLUMINA,2015-05-01T00:00:00Z,GSM1572746,Shoot,SRP051531,Shoot
SRR1734700,RNA-Seq,300,1876219200,PRJNA271131,SAMN03273084,1200392673,GEO,350± 50 (ambient CO2),public,sra,"gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX823933,GSM1572747,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,"1 (L, low)µM MgSO4",Arabidopsis thaliana,ILLUMINA,2015-05-01T00:00:00Z,GSM1572747,Shoot,SRP051531,Shoot
