Pathways	p-values	Matches	Genes of pathway
Degradation	6.290222e-12	GLC-D-LACTONE // GLUCONATE // Pi // L-ORNITHINE // URACIL // GUANINE // XANTHINE // LEU // CPD-318 // D-MYO-INOSITOL-4-PHOSPHATE // ALLANTOATE // CPD-497 // CPD-603 // FRUCTOSE-6P // CPD-1099 // SUCROSE // PUTRESCINE // MET // LYS // ASN // L-ALPHA-ALANINE // PRO // GLYCEROL // 1-KESTOTRIOSE // VAL // ILE // TYR	
IND-AMINO-ACID-SYN	5.5947464e-8	ASN // MET // Pi // TYR // N-ALPHA-ACETYLORNITHINE // L-ORNITHINE // L-ALPHA-ALANINE // ILE // TRP // PRO // LYS // PUTRESCINE // LEU // CIT // VAL	
Amino-Acid-Biosynthesis	1.1015255e-7	ASN // MET // Pi // TYR // URACIL // L-ORNITHINE // N-ALPHA-ACETYLORNITHINE // L-ALPHA-ALANINE // PRO // ILE // LYS // TRP // VAL // PUTRESCINE // LEU // CIT	
Proteinogenic-Amino-Acids-Degradation	4.6637897e-6	L-ALPHA-ALANINE // L-ORNITHINE // LYS // PRO // ASN // Pi // LEU // ILE // MET // TYR // VAL	
Amino-Acid-Degradation	8.555021e-6	L-ALPHA-ALANINE // L-ORNITHINE // LYS // PRO // ASN // Pi // LEU // ILE // MET // TYR // VAL	
Sugars-And-Polysaccharides-Degradation	1.091487e-5	FRUCTOSE-6P // GLC-D-LACTONE // GLUCONATE // Pi // SUCROSE // CPD-1099	
Carbohydrates-Degradation	5.2516687e-5	FRUCTOSE-6P // GLC-D-LACTONE // GLUCONATE // Pi // SUCROSE // CPD-1099 // 1-KESTOTRIOSE	
Purine-Degradation	7.545933e-5	CPD-497 // URACIL // XANTHINE // GUANINE // Pi	
PWY-5337	3.80335e-4	CPD-1099 // CPD-458 // SUCROSE	BRARA.H01554 // BRARA.I05273 // BRARA.I01596 // BRARA.I05489 // BRARA.I01595 // BRARA.I01682 // BRARA.I04469 // BRARA.A02472 // BRARA.E00071 // BRARA.D02832 // BRARA.H00035 // BRARA.I03971 // BRARA.I00120 // BRARA.D01062 // BRARA.J01587 // BRARA.B00875
NUCLEO-DEG	0.00100438	Pi // URACIL // MET // CPD-497 // XANTHINE // GUANINE	
Other-Amino-Acid-Biosynthesis	0.0012991588	URACIL // Pi // L-ORNITHINE // PRO // L-ALPHA-ALANINE // N-ALPHA-ACETYLORNITHINE	
PWY-6606	0.0014145074	XANTHINE // GUANINE // Pi	BRARA.F02891 // BRARA.C03100 // BRARA.B02047 // BRARA.B03467 // BRARA.C01962 // BRARA.D01427 // BRARA.F02961 // BRARA.G02341 // BRARA.G03157 // BRARA.G02234 // BRARA.G03335 // BRARA.A02024 // BRARA.H00785 // BRARA.I00142 // BRARA.A00336
PWY-6233	0.0018138724	ILE // LEU // VAL	BRARA.I00224 // BRARA.C04134
Guanosine-Nucleotides-Degradation	0.0018138724	XANTHINE // GUANINE // Pi	
PWY-6595	0.0018138724	GUANINE // XANTHINE // Pi	BRARA.F02891 // BRARA.C03100 // BRARA.B02047 // BRARA.B03467 // BRARA.C01962 // BRARA.D01427 // BRARA.F02961 // BRARA.G02341 // BRARA.G03157 // BRARA.G02234 // BRARA.G03335 // BRARA.A02024 // BRARA.H00785 // BRARA.I00142 // BRARA.A00336
L-Ornithine-Biosynthesis	0.0025098945	Pi // L-ORNITHINE // PRO // N-ALPHA-ACETYLORNITHINE	
GLUCOSE1PMETAB-PWY	0.0034089498	GLC-D-LACTONE // GLUCONATE // Pi	BRARA.C01967 // BRARA.D02358 // BRARA.D01569 // BRARA.B00718 // BRARA.J00743 // BRARA.G03004 // BRARA.I03257 // BRARA.H02219 // BRARA.H01739 // BRARA.H00242 // BRARA.I01142 // BRARA.A00114 // BRARA.G00091 // BRARA.F00309 // BRARA.E01673 // BRARA.E02198 // BRARA.J00549 // BRARA.G03301 // BRARA.G01468 // BRARA.F02173
PWY-3341	0.0034089498	Pi // PRO // L-ORNITHINE	BRARA.F03637 // BRARA.I01922 // BRARA.C00638 // BRARA.J01994 // BRARA.I03811 // BRARA.E00599 // BRARA.D00386 // BRARA.D02414 // BRARA.C02032
PROLINE-SYN	0.0034089498	Pi // PRO // L-ORNITHINE	
GLUTORN-PWY	0.0040833005	N-ALPHA-ACETYLORNITHINE // L-ORNITHINE // Pi	BRARA.K01230 // BRARA.A00125 // BRARA.G01159 // BRARA.G03694 // BRARA.E01312 // BRARA.E00759 // BRARA.D02280 // BRARA.I03975 // BRARA.D00279 // BRARA.I01401 // BRARA.G03717 // BRARA.B02406 // BRARA.A00907 // BRARA.K00483
PWY-5044	0.004833542	GUANINE // XANTHINE // Pi	BRARA.K01623 // BRARA.G03668 // BRARA.F01132 // BRARA.H02998 // BRARA.I05443 // BRARA.F01640 // BRARA.E00848 // BRARA.C00951 // BRARA.C01823 // BRARA.J01692 // BRARA.B00792 // BRARA.F02891 // BRARA.C03100 // BRARA.B02047 // BRARA.B03467 // BRARA.C01962 // BRARA.D01427 // BRARA.F02961 // BRARA.G02341 // BRARA.G03157 // BRARA.G02234 // BRARA.G03335 // BRARA.A02024 // BRARA.H00785 // BRARA.I00142 // BRARA.A00336
