Compound_id,PC,loading,Compound_common_name,Compound_synonyms,Molecular_weight,Chemical_formula,Smiles,Links,EC,Reaction_equation,Pathway,Pathway-id,Pathway-name,Reaction-id,Protein-id,Protein-name,Gene-id,Gene-name
PUTRESCINE,root_PC3,-0.1178162252519843,putrescine,"diaminobutane*1,4-diaminobutane*1,4-butanediamine*tetramethylenediamine",90.168,C4 H14 N2,C([N+])CCC[N+],REFMET:Putrescine*BIGG:ptrc*METABOLIGHTS:MTBLC326268*HMDB:HMDB01414*CHEMSPIDER:2695170*CHEBI:326268*PUBCHEM:3452892*LIGAND-CPD:C00134*CAS:110-60-1,EC-2.5.1.16,putrescine + S-adenosyl 3-(methylthio)propylamine  ->  spermidine + S-methyl-5'-thioadenosine + H+,spermidine biosynthesis I,BSUBPOLYAMSYN-PWY,spermidine biosynthesis I,SPERMIDINESYN-RXN,G4K-8730-MONOMER,spermidine synthase,G4K-8730,Brara.B01473
PUTRESCINE,root_PC3,-0.1178162252519843,putrescine,"diaminobutane*1,4-diaminobutane*1,4-butanediamine*tetramethylenediamine",90.168,C4 H14 N2,C([N+])CCC[N+],REFMET:Putrescine*BIGG:ptrc*METABOLIGHTS:MTBLC326268*HMDB:HMDB01414*CHEMSPIDER:2695170*CHEBI:326268*PUBCHEM:3452892*LIGAND-CPD:C00134*CAS:110-60-1,EC-2.5.1.16,putrescine + S-adenosyl 3-(methylthio)propylamine  ->  spermidine + S-methyl-5'-thioadenosine + H+,spermidine biosynthesis I,BSUBPOLYAMSYN-PWY,spermidine biosynthesis I,SPERMIDINESYN-RXN,G4K-12199-MONOMER,spermidine synthase,G4K-12199,Brara.G00966
PUTRESCINE,root_PC3,-0.1178162252519843,putrescine,"diaminobutane*1,4-diaminobutane*1,4-butanediamine*tetramethylenediamine",90.168,C4 H14 N2,C([N+])CCC[N+],REFMET:Putrescine*BIGG:ptrc*METABOLIGHTS:MTBLC326268*HMDB:HMDB01414*CHEMSPIDER:2695170*CHEBI:326268*PUBCHEM:3452892*LIGAND-CPD:C00134*CAS:110-60-1,EC-2.5.1.16,putrescine + S-adenosyl 3-(methylthio)propylamine  ->  spermidine + S-methyl-5'-thioadenosine + H+,spermidine biosynthesis I,BSUBPOLYAMSYN-PWY,spermidine biosynthesis I,SPERMIDINESYN-RXN,G4K-13175-MONOMER,spermidine synthase,G4K-13175,Brara.H02195
PUTRESCINE,root_PC3,-0.1178162252519843,putrescine,"diaminobutane*1,4-diaminobutane*1,4-butanediamine*tetramethylenediamine",90.168,C4 H14 N2,C([N+])CCC[N+],REFMET:Putrescine*BIGG:ptrc*METABOLIGHTS:MTBLC326268*HMDB:HMDB01414*CHEMSPIDER:2695170*CHEBI:326268*PUBCHEM:3452892*LIGAND-CPD:C00134*CAS:110-60-1,EC-2.5.1.16,putrescine + S-adenosyl 3-(methylthio)propylamine  ->  spermidine + S-methyl-5'-thioadenosine + H+,spermidine biosynthesis I,BSUBPOLYAMSYN-PWY,spermidine biosynthesis I,SPERMIDINESYN-RXN,G4K-13951-MONOMER,spermidine synthase,G4K-13951,Brara.I03211
PUTRESCINE,root_PC3,-0.1178162252519843,putrescine,"diaminobutane*1,4-diaminobutane*1,4-butanediamine*tetramethylenediamine",90.168,C4 H14 N2,C([N+])CCC[N+],REFMET:Putrescine*BIGG:ptrc*METABOLIGHTS:MTBLC326268*HMDB:HMDB01414*CHEMSPIDER:2695170*CHEBI:326268*PUBCHEM:3452892*LIGAND-CPD:C00134*CAS:110-60-1,EC-2.5.1.16,putrescine + S-adenosyl 3-(methylthio)propylamine  ->  spermidine + S-methyl-5'-thioadenosine + H+,spermidine biosynthesis I,BSUBPOLYAMSYN-PWY,spermidine biosynthesis I,SPERMIDINESYN-RXN,G4K-14595-MONOMER,spermidine synthase,G4K-14595,Brara.J00820
PUTRESCINE,root_PC3,-0.1178162252519843,putrescine,"diaminobutane*1,4-diaminobutane*1,4-butanediamine*tetramethylenediamine",90.168,C4 H14 N2,C([N+])CCC[N+],REFMET:Putrescine*BIGG:ptrc*METABOLIGHTS:MTBLC326268*HMDB:HMDB01414*CHEMSPIDER:2695170*CHEBI:326268*PUBCHEM:3452892*LIGAND-CPD:C00134*CAS:110-60-1,EC-2.5.1.16,putrescine + S-adenosyl 3-(methylthio)propylamine  ->  spermidine + S-methyl-5'-thioadenosine + H+,spermidine biosynthesis I,BSUBPOLYAMSYN-PWY,spermidine biosynthesis I,SPERMIDINESYN-RXN,G4K-14959-MONOMER,spermidine synthase,G4K-14959,Brara.J02724
PUTRESCINE,root_PC3,-0.1178162252519843,putrescine,"diaminobutane*1,4-diaminobutane*1,4-butanediamine*tetramethylenediamine",90.168,C4 H14 N2,C([N+])CCC[N+],REFMET:Putrescine*BIGG:ptrc*METABOLIGHTS:MTBLC326268*HMDB:HMDB01414*CHEMSPIDER:2695170*CHEBI:326268*PUBCHEM:3452892*LIGAND-CPD:C00134*CAS:110-60-1,EC-3.5.1.53,N-carbamoylputrescine + 2 H+ + H2O  ->  putrescine + CO2 + ammonium,putrescine biosynthesis II,PWY-43,putrescine biosynthesis II,N-CARBAMOYLPUTRESCINE-AMIDASE-RXN,G4K-10357-MONOMER,<i>N</i>-carbamoylputrescine amidohydrolase,G4K-10357,Brara.D01638
PUTRESCINE,root_PC3,-0.1178162252519843,putrescine,"diaminobutane*1,4-diaminobutane*1,4-butanediamine*tetramethylenediamine",90.168,C4 H14 N2,C([N+])CCC[N+],REFMET:Putrescine*BIGG:ptrc*METABOLIGHTS:MTBLC326268*HMDB:HMDB01414*CHEMSPIDER:2695170*CHEBI:326268*PUBCHEM:3452892*LIGAND-CPD:C00134*CAS:110-60-1,EC-1.5.3.17,spermidine + oxygen + H2O  ->  putrescine + 3-aminopropanal + hydrogen peroxide,spermine and spermidine degradation III,PWY-6441,spermine and spermidine degradation III,RXN-9015,G4K-7863-MONOMER,spermine oxidase,G4K-7863,Brara.A00767
PUTRESCINE,root_PC3,-0.1178162252519843,putrescine,"diaminobutane*1,4-diaminobutane*1,4-butanediamine*tetramethylenediamine",90.168,C4 H14 N2,C([N+])CCC[N+],REFMET:Putrescine*BIGG:ptrc*METABOLIGHTS:MTBLC326268*HMDB:HMDB01414*CHEMSPIDER:2695170*CHEBI:326268*PUBCHEM:3452892*LIGAND-CPD:C00134*CAS:110-60-1,EC-1.5.3.17,spermidine + oxygen + H2O  ->  putrescine + 3-aminopropanal + hydrogen peroxide,spermine and spermidine degradation III,PWY-6441,spermine and spermidine degradation III,RXN-9015,G4K-8321-MONOMER,spermine oxidase,G4K-8321,Brara.A03242
PUTRESCINE,root_PC3,-0.1178162252519843,putrescine,"diaminobutane*1,4-diaminobutane*1,4-butanediamine*tetramethylenediamine",90.168,C4 H14 N2,C([N+])CCC[N+],REFMET:Putrescine*BIGG:ptrc*METABOLIGHTS:MTBLC326268*HMDB:HMDB01414*CHEMSPIDER:2695170*CHEBI:326268*PUBCHEM:3452892*LIGAND-CPD:C00134*CAS:110-60-1,EC-1.5.3.17,spermidine + oxygen + H2O  ->  putrescine + 3-aminopropanal + hydrogen peroxide,spermine and spermidine degradation III,PWY-6441,spermine and spermidine degradation III,RXN-9015,G4K-8764-MONOMER,spermine oxidase,G4K-8764,Brara.B01632
