sample,location,tissue,genotype,block,pot,bench,col,row,data_type,trt,time_point,group
wyo_leaf_FPsc_02_052,wyo,leaf,FPsc,2,52,1,2,3,RNAseq,5E_live,wk2,leaf_FPsc_5E_live
wyo_leaf_FPsc_02_064,wyo,leaf,FPsc,2,64,1,4,1,RNAseq,5E_dead,wk2,leaf_FPsc_5E_dead
wyo_leaf_FPsc_02_065,wyo,leaf,FPsc,2,65,1,5,5,RNAseq,BLANK_NA,wk2,leaf_FPsc_BLANK_NA
wyo_leaf_FPsc_04_141,wyo,leaf,FPsc,4,141,1,2,2,RNAseq,5E_dead,wk2,leaf_FPsc_5E_dead
wyo_leaf_FPsc_04_170,wyo,leaf,FPsc,4,170,1,4,6,RNAseq,BLANK_NA,wk2,leaf_FPsc_BLANK_NA
wyo_leaf_FPsc_04_174,wyo,leaf,FPsc,4,174,1,5,6,RNAseq,5E_live,wk2,leaf_FPsc_5E_live
wyo_leaf_FPsc_05_178,wyo,leaf,FPsc,5,178,2,1,4,RNAseq,BLANK_NA,wk2,leaf_FPsc_BLANK_NA
wyo_leaf_FPsc_05_181,wyo,leaf,FPsc,5,181,2,1,1,RNAseq,5E_dead,wk2,leaf_FPsc_5E_dead
wyo_leaf_FPsc_05_218,wyo,leaf,FPsc,5,218,2,5,6,RNAseq,5E_live,wk2,leaf_FPsc_5E_live
wyo_leaf_FPsc_07_272,wyo,leaf,FPsc,7,272,2,2,3,RNAseq,5E_dead,wk2,leaf_FPsc_5E_dead
wyo_leaf_FPsc_07_292,wyo,leaf,FPsc,7,292,2,1,8,RNAseq,5E_live,wk2,leaf_FPsc_5E_live
wyo_leaf_FPsc_07_296,wyo,leaf,FPsc,7,296,2,2,8,RNAseq,BLANK_NA,wk2,leaf_FPsc_BLANK_NA
wyo_leaf_FPsc_10_399,wyo,leaf,FPsc,10,399,3,1,3,RNAseq,5E_dead,wk2,leaf_FPsc_5E_dead
wyo_leaf_FPsc_10_428,wyo,leaf,FPsc,10,428,3,2,8,RNAseq,5E_live,wk2,leaf_FPsc_5E_live
wyo_leaf_FPsc_10_435,wyo,leaf,FPsc,10,435,3,4,7,RNAseq,BLANK_NA,wk2,leaf_FPsc_BLANK_NA
wyo_leaf_FPsc_12_508,wyo,leaf,FPsc,12,508,3,5,2,RNAseq,BLANK_NA,wk2,leaf_FPsc_BLANK_NA
wyo_leaf_FPsc_12_517,wyo,leaf,FPsc,12,517,3,2,9,RNAseq,5E_dead,wk2,leaf_FPsc_5E_dead
wyo_leaf_FPsc_12_523,wyo,leaf,FPsc,12,523,3,4,7,RNAseq,5E_live,wk2,leaf_FPsc_5E_live
wyo_leaf_R500_02_055,wyo,leaf,R500,2,55,1,3,5,RNAseq,5E_live,wk2,leaf_R500_5E_live
wyo_leaf_R500_02_059,wyo,leaf,R500,2,59,1,3,1,RNAseq,5E_dead,wk2,leaf_R500_5E_dead
wyo_leaf_R500_02_082,wyo,leaf,R500,2,82,1,4,6,RNAseq,BLANK_NA,wk2,leaf_R500_BLANK_NA
wyo_leaf_R500_04_153,wyo,leaf,R500,4,153,1,5,5,RNAseq,BLANK_NA,wk2,leaf_R500_BLANK_NA
wyo_leaf_R500_04_154,wyo,leaf,R500,4,154,1,5,4,RNAseq,5E_dead,wk2,leaf_R500_5E_dead
wyo_leaf_R500_04_162,wyo,leaf,R500,4,162,1,2,6,RNAseq,5E_live,wk2,leaf_R500_5E_live
wyo_leaf_R500_05_179,wyo,leaf,R500,5,179,2,1,3,RNAseq,5E_dead,wk2,leaf_R500_5E_dead
wyo_leaf_R500_05_202,wyo,leaf,R500,5,202,2,1,6,RNAseq,BLANK_NA,wk2,leaf_R500_BLANK_NA
wyo_leaf_R500_05_213,wyo,leaf,R500,5,213,2,3,9,RNAseq,5E_live,wk2,leaf_R500_5E_live
wyo_leaf_R500_07_266,wyo,leaf,R500,7,266,2,1,4,RNAseq,5E_live,wk2,leaf_R500_5E_live
wyo_leaf_R500_07_269,wyo,leaf,R500,7,269,2,1,1,RNAseq,5E_dead,wk2,leaf_R500_5E_dead
wyo_leaf_R500_07_278,wyo,leaf,R500,7,278,2,3,2,RNAseq,BLANK_NA,wk2,leaf_R500_BLANK_NA
wyo_leaf_R500_10_406,wyo,leaf,R500,10,406,3,2,1,RNAseq,5E_live,wk2,leaf_R500_5E_live
wyo_leaf_R500_10_424,wyo,leaf,R500,10,424,3,1,8,RNAseq,BLANK_NA,wk2,leaf_R500_BLANK_NA
wyo_leaf_R500_10_432,wyo,leaf,R500,10,432,3,3,8,RNAseq,5E_dead,wk2,leaf_R500_5E_dead
wyo_leaf_R500_12_485,wyo,leaf,R500,12,485,3,1,5,RNAseq,5E_live,wk2,leaf_R500_5E_live
wyo_leaf_R500_12_504,wyo,leaf,R500,12,504,3,4,1,RNAseq,5E_dead,wk2,leaf_R500_5E_dead
wyo_leaf_R500_12_513,wyo,leaf,R500,12,513,3,1,9,RNAseq,BLANK_NA,wk2,leaf_R500_BLANK_NA
wyo_root_FPsc_02_052,wyo,root,FPsc,2,52,1,2,3,RNAseq,5E_live,wk2,root_FPsc_5E_live
wyo_root_FPsc_02_064,wyo,root,FPsc,2,64,1,4,1,RNAseq,5E_dead,wk2,root_FPsc_5E_dead
wyo_root_FPsc_02_065,wyo,root,FPsc,2,65,1,5,5,RNAseq,BLANK_NA,wk2,root_FPsc_BLANK_NA
wyo_root_FPsc_04_141,wyo,root,FPsc,4,141,1,2,2,RNAseq,5E_dead,wk2,root_FPsc_5E_dead
wyo_root_FPsc_04_170,wyo,root,FPsc,4,170,1,4,6,RNAseq,BLANK_NA,wk2,root_FPsc_BLANK_NA
wyo_root_FPsc_04_174,wyo,root,FPsc,4,174,1,5,6,RNAseq,5E_live,wk2,root_FPsc_5E_live
wyo_root_FPsc_05_178,wyo,root,FPsc,5,178,2,1,4,RNAseq,BLANK_NA,wk2,root_FPsc_BLANK_NA
wyo_root_FPsc_05_181,wyo,root,FPsc,5,181,2,1,1,RNAseq,5E_dead,wk2,root_FPsc_5E_dead
wyo_root_FPsc_05_218,wyo,root,FPsc,5,218,2,5,6,RNAseq,5E_live,wk2,root_FPsc_5E_live
wyo_root_FPsc_07_272,wyo,root,FPsc,7,272,2,2,3,RNAseq,5E_dead,wk2,root_FPsc_5E_dead
wyo_root_FPsc_07_292,wyo,root,FPsc,7,292,2,1,8,RNAseq,5E_live,wk2,root_FPsc_5E_live
wyo_root_FPsc_07_296,wyo,root,FPsc,7,296,2,2,8,RNAseq,BLANK_NA,wk2,root_FPsc_BLANK_NA
wyo_root_FPsc_10_399,wyo,root,FPsc,10,399,3,1,3,RNAseq,5E_dead,wk2,root_FPsc_5E_dead
wyo_root_FPsc_10_428,wyo,root,FPsc,10,428,3,2,8,RNAseq,5E_live,wk2,root_FPsc_5E_live
wyo_root_FPsc_10_435,wyo,root,FPsc,10,435,3,4,7,RNAseq,BLANK_NA,wk2,root_FPsc_BLANK_NA
wyo_root_FPsc_12_508,wyo,root,FPsc,12,508,3,5,2,RNAseq,BLANK_NA,wk2,root_FPsc_BLANK_NA
wyo_root_FPsc_12_517,wyo,root,FPsc,12,517,3,2,9,RNAseq,5E_dead,wk2,root_FPsc_5E_dead
