Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [OrganismPart]	Characteristics [DevelopmentalStage]	Characteristics [Ecotype]	Characteristics [Organism]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[TREATMENT]
42-11_SAMPLE190377SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	42-11_SAMPLE190377SUB2686	P-MEXP-30021	E_42-11_SAMPLE190377SUB2686	total_RNA	P-MEXP-30023	L_42-11_SAMPLE190377SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_42-11_SAMPLE190377SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_42-11_SAMPLE190377SUB2686	LL42-11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526378.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	30 mM nitrate; 60 mM sucrose
34-6_SAMPLE190367SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	34-6_SAMPLE190367SUB2686	P-MEXP-30021	E_34-6_SAMPLE190367SUB2686	total_RNA	P-MEXP-30023	L_34-6_SAMPLE190367SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_34-6_SAMPLE190367SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_34-6_SAMPLE190367SUB2686	LL34-6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	0 mM nitrate; 60 mM sucrose
33-18_SAMPLE190355SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	33-18_SAMPLE190355SUB2686	P-MEXP-30021	E_33-18_SAMPLE190355SUB2686	total_RNA	P-MEXP-30023	L_33-18_SAMPLE190355SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_33-18_SAMPLE190355SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_33-18_SAMPLE190355SUB2686	LL33-18.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	0 mM nitrate; 60 mM sucrose
33-17_SAMPLE190354SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	33-17_SAMPLE190354SUB2686	P-MEXP-30021	E_33-17_SAMPLE190354SUB2686	total_RNA	P-MEXP-30023	L_33-17_SAMPLE190354SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_33-17_SAMPLE190354SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_33-17_SAMPLE190354SUB2686	LL33-17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	0 mM nitrate; 30 mM sucrose
34-5_SAMPLE190366SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	34-5_SAMPLE190366SUB2686	P-MEXP-30021	E_34-5_SAMPLE190366SUB2686	total_RNA	P-MEXP-30023	L_34-5_SAMPLE190366SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_34-5_SAMPLE190366SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_34-5_SAMPLE190366SUB2686	LL34-5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	0 mM nitrate; 30 mM sucrose
33-20_SAMPLE190357SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	33-20_SAMPLE190357SUB2686	P-MEXP-30021	E_33-20_SAMPLE190357SUB2686	total_RNA	P-MEXP-30023	L_33-20_SAMPLE190357SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_33-20_SAMPLE190357SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_33-20_SAMPLE190357SUB2686	LL33-20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	5 mM nitrate; 30 mM sucrose
34-4_SAMPLE190365SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	34-4_SAMPLE190365SUB2686	P-MEXP-30021	E_34-4_SAMPLE190365SUB2686	total_RNA	P-MEXP-30023	L_34-4_SAMPLE190365SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_34-4_SAMPLE190365SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_34-4_SAMPLE190365SUB2686	LL34-4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	15 mM nitrate; 0 mM sucrose
42-8_SAMPLE190376SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	42-8_SAMPLE190376SUB2686	P-MEXP-30021	E_42-8_SAMPLE190376SUB2686	total_RNA	P-MEXP-30023	L_42-8_SAMPLE190376SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_42-8_SAMPLE190376SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_42-8_SAMPLE190376SUB2686	LL42-8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526378.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	3.3 mM nitrate; 60 mM sucrose
33-19_SAMPLE190356SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	33-19_SAMPLE190356SUB2686	P-MEXP-30021	E_33-19_SAMPLE190356SUB2686	total_RNA	P-MEXP-30023	L_33-19_SAMPLE190356SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_33-19_SAMPLE190356SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_33-19_SAMPLE190356SUB2686	LL33-19.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	0 mM nitrate; 90 mM sucrose
33-22_SAMPLE190359SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	33-22_SAMPLE190359SUB2686	P-MEXP-30021	E_33-22_SAMPLE190359SUB2686	total_RNA	P-MEXP-30023	L_33-22_SAMPLE190359SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_33-22_SAMPLE190359SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_33-22_SAMPLE190359SUB2686	LL33-22.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	15 mM nitrate; 90 mM sucrose
34-3_SAMPLE190364SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	34-3_SAMPLE190364SUB2686	P-MEXP-30021	E_34-3_SAMPLE190364SUB2686	total_RNA	P-MEXP-30023	L_34-3_SAMPLE190364SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_34-3_SAMPLE190364SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_34-3_SAMPLE190364SUB2686	LL34-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	10 mM nitrate; 0 mM sucrose
33-21_SAMPLE190358SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	33-21_SAMPLE190358SUB2686	P-MEXP-30021	E_33-21_SAMPLE190358SUB2686	total_RNA	P-MEXP-30023	L_33-21_SAMPLE190358SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_33-21_SAMPLE190358SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_33-21_SAMPLE190358SUB2686	LL33-21.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526350.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	10 mM nitrate; 60 mM sucrose
42-7_SAMPLE190375SUB2686	6	weeks	root	adult	Columbia-0	Arabidopsis thaliana	P-MEXP-30022	P-MEXP-30020	42-7_SAMPLE190375SUB2686	P-MEXP-30021	E_42-7_SAMPLE190375SUB2686	total_RNA	P-MEXP-30023	L_42-7_SAMPLE190375SUB2686	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_42-7_SAMPLE190375SUB2686	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_42-7_SAMPLE190375SUB2686	LL42-7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-828-processed-data-1343526378.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-828/E-MEXP-828.processed.1.zip	1.7 mM nitrate; 30 mM sucrose
